Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
1862.426	0.003	0.007	0.057	0.033
1862.489	0.003	0.001	0.041	0.033
1862.551	0.003	0.007	0.049	0.041
1862.614	-0.003	-0.005	0.033	0.033
1862.676	0.009	0.001	0.057	0.033
1862.739	-0.003	-0.005	0.049	0.033
1862.802	-0.003	-0.005	0.049	0.025
1862.864	-0.003	-0.005	0.041	0.041
1862.927	-0.003	-0.005	0.049	0.033
1862.989	0.003	-0.011	0.041	0.041
1863.052	0.003	0.007	0.041	0.049
1863.114	0.003	-0.005	0.057	0.033
1863.177	0.003	-0.005	0.033	0.025
1863.239	-0.003	0.001	0.049	0.033
1863.302	-0.003	0.001	0.049	0.033
1863.364	-0.003	-0.005	0.049	0.033
1863.427	-0.003	0.001	0.025	0.025
1863.490	0.003	0.001	0.041	0.033
1863.552	-0.003	0.007	0.049	0.041
1863.615	0.009	-0.005	0.066	0.041
1863.677	-0.003	-0.005	0.057	0.041
1863.740	0.003	-0.005	0.057	0.033
1863.802	0.003	-0.005	0.033	0.041
1863.865	-0.003	0.001	0.041	0.033
1863.927	-0.003	0.001	0.033	0.033
1863.990	0.003	0.001	0.066	0.041
1864.053	-0.003	0.001	0.049	0.033
1864.115	-0.003	0.001	0.049	0.041
1864.178	0.009	0.007	0.057	0.049
1864.240	0.003	-0.005	0.041	0.033
1864.303	-0.009	0.001	0.041	0.033
1864.365	-0.003	-0.005	0.041	0.033
1864.428	0.003	0.001	0.057	0.025
1864.490	-0.003	-0.011	0.049	0.041
1864.553	-0.003	-0.005	0.041	0.033
1864.615	0.003	-0.011	0.049	0.033
1864.678	0.003	0.001	0.049	0.041
1864.741	0.003	-0.005	0.033	0.016
1864.803	0.003	-0.005	0.041	0.033
1864.866	-0.003	0.001	0.033	0.041
1864.928	-0.003	-0.005	0.049	0.041
1864.991	-0.003	-0.005	0.049	0.049
1865.053	-0.003	0.001	0.057	0.025
1865.116	0.003	-0.017	0.049	0.041
1865.178	-0.003	-0.005	0.057	0.041
1865.241	0.003	0.001	0.049	0.033
1865.304	-0.003	-0.005	0.049	0.033
1865.366	-0.003	0.001	0.049	0.025
1865.429	-0.003	0.001	0.041	0.033
1865.491	0.003	0.007	0.049	0.033
1865.554	0.003	-0.005	0.049	0.041
1865.616	-0.003	-0.005	0.033	0.041
1865.679	0.003	0.001	0.041	0.033
1865.741	0.003	-0.005	0.049	0.041
1865.804	-0.003	-0.005	0.049	0.041
1865.866	-0.003	-0.005	0.033	0.033
1865.929	-0.003	-0.005	0.057	0.033
1865.992	-0.009	-0.005	0.057	0.033
1866.054	0.003	0.007	0.057	0.033
1866.117	-0.009	-0.005	0.041	0.033
1866.179	-3.010	-6.410	0.025	0.033
1866.242	-3.686	-8.072	0.033	0.041
1866.304	-3.936	-8.626	0.025	0.041
1866.367	6.493	14.235	0.041	0.033
1866.429	3.650	8.007	0.057	0.033
1866.492	1.708	3.751	0.033	0.033
1866.555	1.038	2.290	0.057	0.041
1866.617	-5.397	-11.792	0.033	0.049
1866.680	-5.762	-12.626	0.016	0.033
1866.742	-6.042	-13.253	-0.000	0.041
1866.805	-6.341	-13.911	-0.008	0.033
1866.867	-6.639	-14.581	-0.000	0.033
1866.930	-6.943	-15.232	-0.016	0.033
1866.992	-7.230	-15.865	-0.016	0.041
