Time (ms)	Ch1 V	Ch2 V	Ch1 A	Ch2 A
15.512	0.009	-0.005	0.033	0.033
15.575	0.003	-0.005	0.033	0.033
15.637	0.003	-0.005	0.049	0.033
15.700	0.003	0.001	0.057	0.033
15.763	-0.003	-0.011	0.041	0.033
15.825	-0.003	-0.005	0.049	0.033
15.888	-0.003	0.001	0.057	0.041
15.950	-0.003	-0.005	0.057	0.033
16.013	-0.009	-0.011	0.041	0.033
16.075	-0.003	-0.005	0.049	0.033
16.138	-0.003	0.001	0.057	0.033
16.200	-0.003	-0.011	0.041	0.025
16.263	-0.009	-0.005	0.057	0.033
16.326	0.003	-0.005	0.041	0.033
16.388	0.003	0.001	0.049	0.041
16.451	0.003	-0.005	0.025	0.033
16.513	-0.009	0.001	0.041	0.033
16.576	0.003	0.001	0.041	0.041
16.638	0.003	-0.005	0.041	0.033
16.701	-0.003	-0.011	0.041	0.041
16.763	-0.003	-0.005	0.049	0.033
16.826	0.003	-0.005	0.041	0.041
16.888	-0.003	0.001	0.041	0.033
16.951	0.003	0.001	0.066	0.041
17.014	0.003	-0.005	0.041	0.033
17.076	0.003	-0.005	0.049	0.041
17.139	-0.003	-0.011	0.049	0.033
17.201	-0.003	0.001	0.049	0.041
17.264	0.003	-0.005	0.049	0.041
17.326	-0.003	0.001	0.041	0.041
17.389	-0.003	0.013	0.057	0.033
17.451	-0.003	0.001	0.049	0.033
17.514	0.003	-0.005	0.057	0.033
17.577	0.003	-0.005	0.041	0.033
17.639	0.015	0.007	0.057	0.025
17.702	0.003	0.001	0.041	0.041
17.764	0.003	0.001	0.041	0.041
17.827	0.003	0.007	0.057	0.033
17.889	0.009	-0.005	0.049	0.041
17.952	0.009	0.001	0.049	0.033
18.014	-0.003	-0.005	0.049	0.049
18.077	-0.003	-0.005	0.049	0.025
18.139	-0.003	0.001	0.033	0.041
18.202	0.003	0.001	0.049	0.041
18.265	-0.003	-0.005	0.049	0.033
18.327	-0.003	-0.005	0.057	0.033
18.390	-0.009	-0.005	0.057	0.049
18.452	0.003	-0.005	0.049	0.033
18.515	0.003	-0.005	0.033	0.041
18.577	0.003	0.001	0.049	0.033
18.640	0.003	0.001	0.049	0.041
18.702	0.003	-0.011	0.049	0.025
18.765	-0.003	0.001	0.049	0.033
18.828	-0.003	-0.005	0.041	0.033
18.890	-0.003	0.001	0.041	0.041
18.953	0.003	-0.005	0.049	0.033
19.015	-0.003	0.001	0.049	0.041
19.078	0.003	0.001	0.033	0.033
19.140	0.009	0.001	0.033	0.041
19.203	-0.003	0.001	0.033	0.041
19.265	-0.003	0.001	0.049	0.033
19.328	-0.003	-0.011	0.057	0.033
19.390	-0.003	0.007	0.049	0.041
19.453	0.009	0.001	0.049	0.033
19.516	-0.003	-0.005	0.041	0.033
19.578	-0.009	0.007	0.049	0.049
